ID,RAW,Translate,
2625,Mujhe ice cream ki bahut khwahish hai,I really crave for ice cream,
2626,Main tumhara bahut aabhari hoon,I am very grateful to you,
2627,Unki aankhen bohot khoobsurat hai,Her eyes are very beautiful,
2628,Wo sote waqt kitni pyari lagti hai,She looks so cute while sleeping,
2629,Kya tum abhi tak soye nahi ho?,Have you not slept yet?,
2630,Uski aankhen meri taraf nahin hai,Her eyes are not directed towards me,
2631,Mera chahra kaafi gora hai,My face is quite fair,
2632,Tumhara bhai kaafi sakht hai,Your brother is quite tough,
2633,Mujhe thakawat mahsoos ho rahi hai,I am feeling tired,
2634,Kya tumhe hamesha se pasand hai yeh?,Is this your favorite always?,
2635,Uska khana abhi tak tayaar nahi hua hai,Her food is not ready yet,
2636,Uski muskaan meri saari thakan chura leti hai,Her smile takes away all my tiredness,
2637,Kya tumhe meri yaad aa rahi hai?,Are you missing me?,
2638,Main thak chuka hoon,I am exhausted,
2639,Uski hasi ke peeche dard chupa hai,There is pain behind her smile,
2640,Main tumhare sath hoon,I am with you,
2641,Usne aaj tak sach nahi bataya,He has never told the truth till now,
2642,Main yahaan akele hoon,I am here alone,
2643,Kya tumhe use pata chal gaya?,Did he come to know about it?,
2644,Uski aankhen sach batati hain,Her eyes reveal the truth,
2645,Wo apne saathi ke saath aata hai,He comes with his companion,
2646,Meri zindagi bohat kamal ki hai,My life is really amazing,
2647,Wo bahut romantic hai,He is very romantic,
2648,Tum sukhad sa hai,You are peaceful,
2649,Main juda ho gaya,I am separate,
2650,Uski muskaan meri saari thakaan chura leti hai,Her smile takes away all my tiredness,
2651,Kya tum use kuch kehna chahte ho?,Do you want to say something to him?,
2652,Main yahan akele hoon,I am alone here,
2653,Uska bhai bahut bada hai,Her brother is very big,
2654,Wo apne dost ke saath khel raha hai,He is playing with his friend,
2655,Tum mujhse kyun baat nahi karte?,Why don't you talk to me?,
2656,Uska beta bahut achha cricket khelta hai,Her son plays cricket really well,
2657,Meri aankhein bahut chhoti hai,My eyes are very small,
2658,Tumhara chahra kaafi khoobsurat hai,Your face is quite beautiful,
2659,Uski khushi meri saari thakaan mita deti hai,Her happiness vanishes all my tiredness,
2660,Kya tumhara dost feminist hai?,Is your friend feminist?,
2661,Usne kabhi kisi ke sath dhokha nahi kiya,He has never betrayed anyone,
2662,Mujhe tumhari yaad bahut aati hai,I miss you a lot,
2663,Main tumse badi umeed rakhta hoon,I have high expectations from you,
2664,Uske paas bahut saari kitaabe hai,She has many books,
2665,Wo apne naye rasgulle khush tha,He was happy with his new sweets,
2666,Tumhara dost uske saath hai,Your friend is with her,
2667,Uske aankhon mein kuch alag hai,Something is different in his eyes,
2668,Kya tum use jaante ho?,Do you know him?,
2669,Usne kabhi kisi ke saath jhooth nahi bola,She has never lied to anyone,
2670,Main ek aam aadmi hoon,I am a common man,
2671,Uska beta bahut naveen hai,His son is very innocent,
2672,Main yahaan naakaam ho gaya hoon,I have failed here,
2673,Tum mujhse naraz nahi ho na?,"You are not angry with me, right?",
2674,Wo apni behno ke saath khush rehta hai,He is happy with his sisters,
2675,Main ne aaj sabko sambhala hai,I have managed everything today,
2676,Uska bhai usse bahut pyar karta hai,He loves her brother very much,
2677,Usne bahut achha kaam kiya hai,He has done very good work,
2678,Main shayad samjha nahi,I didn't understand maybe,
2679,Uska beta bahut khushi se uchhal raha hai,Her son is jumping with joy,
2680,Tumhara dost mere bhai ke saath ho,Your friend is with my brother,
2681,Uske aankhon mein kuch alag sa hai,Something is different in his eyes,
2682,Kya tum use jaante ho?,Do you know him?,
2683,Main ne kabhi aisi baat nahi ki,Such things I have never said,
2684,Uska beta bahut hi nautanki hai,He is very mischievous,
2685,Tum bhool gaye ho kya?,Have you forgotten?,
2686,Main maafi chahata hoon,I want to apologize,
2687,Usne apna kaam thik tarike se kiya,He did his work properly,
2688,Wo bahut hi khushi men hai,He is very happy,
2689,Mujhe tumhari madad chahiye,I need your help,
2690,Kya tum mujhe samajh sake?,Can you understand me?,
2691,Main tumhari help ke liye hamesha taiyaar rehta hoon,I am always ready to help you,
2692,Uske aankhon mein kuch alag dikh raha hai,Something different is seen in her eyes,
2693,Tumhare bhai namkin khana pasand karta hai,Your brother likes salty food,
2694,Uska beta bahut hi shararti hai,His son is very naughty,
2695,Main ne tumhari madad ki hai,I have helped you,
2696,Usne apne dost ke sath chalne ka faisla kiya,He decided to go with his friend,
2697,Wo bahut hi bahadur hai,He is very brave,
2698,Mere paas tumhare liye waqt nahi hai,I don't have time for you,
2699,Kya tum abhi tak soye nahi ho?,Have you not slept yet?,
2700,Uska bachcha bahut pyara hai,Her child is very cute,
2701,Main ne apna kaam pura kiya hai,I have completed my work,
2702,Usne kabhi kisi ko dokha nahi diya,She has never betrayed anyone,
2703,Main humesha tumse dosti nibhana chahta hoon,I always want to keep our friendship,
2704,Uska beta bahut shararti hai,He is very naughty,
2705,Mera friend mujhse milega,My friend will meet me,
2706,Wo bahuti romantic hai,He is very romantic,
2707,Mujhe thakawat mahsus ho rahi hai,I am feeling tired,
2708,Kya tum mujhe jaante ho?,Do you know me?,
2709,Uski khushi meri sari thakaan mita deti hai,Her happiness vanishes all my tiredness,
2710,Main tumse juda ho chuka hoon,I am separated from you,
2711,Hamari dosti kabhi khatam nahi hogi,Our friendship will never end,
2712,Uska beta bahut shararti hai aur hans raha hai,His son is very naughty and laughing,
2713,Tumhara dost meri behna ke saath hai,Your friend is with my sister,
2714,Uski aankhon mein kuch alag nazar aata hai,Something different is seen in her eyes,
2715,Kya tum apne kaam mein safal rahe ho?,Are you succeeding in your work?,
2716,Main tumhe bahut miss karta hoon,I miss you a lot,
2717,Usne kabhi apne dost ka dil nahi dukhaya,He has never hurt his friend's feelings,
2718,Tumhara dost bahut hi kushal darpan hai,Your friend is very talented,
2719,Mujhe pyaar nahi hai,love is not for me,
2720,Tum kab tak aaoge?,when will you come?,
2721,Kya tum mujhe samajh sakte ho?,can you understand me?,
2722,Agli baar zaroor aaunga,will definitely come next time,
2723,Mujhe samajh nahi aaya,I didn't understand,
2724,Tum kahaan the?,where were you?,
2725,Tumhe kya lagta hai?,what do you think?,
2726,Main tumhe yaad karoonga,I will remember you,
2727,Yeh kaam kar do,do this work,
2728,Mujhe pata hai,I know,
2729,Tum mere ho,you are mine,
2730,Tumse milke bahut khushi hui,nice meeting you,
2731,Kya aapko gussa aata hai?,do you get angry?,
2732,Yeh tumhara hai,this is yours,
2733,Mujhe maaf kar do,forgive me,
2734,Mujhe sach batao,tell me the truth,
2735,Tumhara mobile khula hai,your mobile is open,
2736,Tumhe kaise pata chala?,how did you come to know?,
2737,Mujhe nahana hai,I need to take a bath,
2738,Tumhe kya hua?,what happened to you?,
2739,Tumhari aankhein bahut khoobsurat hain,your eyes are very beautiful,
2740,Mujhe khana pasand hai,I like food,
2741,Tum kahan se aaye ho?,where are you from?,
2742,Kya tumne khana khaya?,did you eat food?,
2743,Tumhare baal sundar hain,your hair is beautiful,
2744,Aap bahut acche hain,you are very nice,
2745,Tumhare kapde achhe hain,your clothes are good,
2746,Yeh kaam kaafi mushkil hai,this work is quite difficult,
2747,Mujhe kuch samajh nahi aa raha hai,I am not able to understand anything,
2748,Tum kahan jana chahte ho?,where do you want to go?,
2749,Yeh meri kitaab hai,this is my book,
2750,Tumhe kuch chahiye kya?,do you want something?,
2751,Tumhe yahaan kaise pata chala?,how did you come here?,
2752,Tum kya job karte ho?,what is your job?,
2753,Tumhari umar kya hai?,what is your age?,
2754,Mujhe kuch khaas nahi karna hai,I don't want to do anything special,
2755,Tumne kya socha?,what did you think?,
2756,Tum itne khoobsurat kyun ho?,why are you so beautiful?,
2757,Tum meri zindagi ho,you are my life,
2758,Tumhare kapde phate huye hain,your clothes are torn,
2759,Tum badi khushnaseeb ho,you are very lucky,
2760,Tum kabhi bhi bhool nahi sakte,you can never forget,
2761,Tumne mere dil ko chura liya,you stole my heart,
2762,Tum mere ho kar rahe ho,you are becoming mine,
2763,Tum kya kar sakte ho?,what can you do?,
2764,Mujhe sahi lagta hai,I feel right,
2765,Tumne kya khaya hai?,what did you eat?,
2766,Tum kya sochte ho?,what do you think?,
2767,Tumhari aankhein bahut hoshiyaar hain,your eyes are very sharp,
2768,Tum yahaan kaise aaye?,how did you come here?,
2769,Tumhe hairaan kar diya,you surprised me,
2770,Tumhari khushi meri khushi hai,your happiness is my happiness,
2771,Tum meri zindagi ho,you are my life,
2772,Tumhe apna khayal rakhna chahiye,you should take care of yourself,
2773,Tumne khana kha liya?,have you eaten food?,
2774,Tumse pyaar karta hu,I love you,
2775,Tumhare chehre pe muskan bahut sundar lagti hai,a smile looks beautiful on your face,
2776,Mujhe jeena hai,I want to live,
2777,Tumhari muskaan mujhe khus kar deti hai,your smile makes me happy,
2778,Tumhe kitna time lagega?,how much time will you take?,
2779,Main tumhe yahaan le aaya hu,I brought you here,
2780,Tumhara naam kya hai?,what is your name?,
2781,Tum bahut khoobsurat ho,you are very beautiful,
2782,Main tumhe kabhi bhool nahi paunga,I will never forget you,
2783,Tumhari zindagi mein khushiyaan ho,may there be happiness in your life,
2784,Tum mujhe bahut yaad aati ho,I remember you a lot,
2785,Tumse milne ko dil karta hai,want to meet you,
2786,Tumhari choti si baat mujhe khushi de deti hai,your small talk makes me happy,
2787,Tumse dosti karna chahta hu,want to be friends with you,
2788,Tum sahi ho,you are right,
2789,Tumhare liye kuch bhi kar sakte hain,can do anything for you,
2790,Tumhaari aadat mujhe achhi lagti hai,I like your habit,
2791,Tumne aaj khana banaaya?,did you cook food today?,
2792,Tum kya dekh rahe ho?,what are you looking at?,
2793,Tum mujhe bahut achhe lagte ho,I like you a lot,
2794,Mujhe aapse baat karni hai,I want to talk to you,
2795,Tumhari hasi bahut khoobsurat hai,your smile is very beautiful,
2796,Tumhe kya chahiye?,what do you want?,
2797,Tumne kya kaam kiya hai?,what work have you done?,
2798,Tumhe hasi aati hai?,do you feel like laughing?,
2799,Tum mujhse bahut acche ho,you are very nice to me,
2800,Tumhari shakal mujhe bahut pasand hai,I like your face a lot,
2801,Tumhara pyaar meri jaan hai,your love is my life,
2802,Mujhe tumhari bahut yaad aati hai,I remember you a lot,
2803,Tumhara mobile off hai,your mobile is off,
2804,Tum kuch bhi kar sakte ho,you can do anything,
2805,Tum kitne baje aaye ho?,what time did you come?,
2806,Tumhe kitni zindagi milti hai?,how much life do you get?,
2807,Tumhare liye dua karta hu,praying for you,
2808,Tumhari taqdeer achhi hai,your fate is good,
2809,Tumhari sharm mujhe achhi lagti hai,I like your shyness,
2810,Tumhe aaj kya karna hai?,what do you need to do today?,
2811,Tumne mujhe bahut khushi di hai,you have given me a lot of happiness,
2812,Tumse baat karna achha lagta hai,like talking to you,
2813,Tumhari soch mujhe achhi lagti hai,I like your thinking,
2814,Tum mujhe bahut kuch sikhate ho,you teach me a lot,
2815,Tum jaldi aaoge na?,will you come soon?,
2816,Tumhari umar kitni hai?,what is your age?,
2817,Tumhe koi pareshani hai?,do you have any problem?,
2818,Tum mujhe pasand ho,I like you,
2819,Tum mujhe bahut yaad aate ho,I remember you a lot,
2820,Tumhare gaanv mein kaisa mausam hai?,how is the weather in your village?,
2821,Tumhe ye kyun laga?,why did you think that?,
2822,Tum kuch bhi kar sakte ho,you can do anything,
2823,Tumse baat karna bahut achha lagta hai,I like talking to you a lot,
2824,Tum mujhse alag ho,you are different from me,
2825,Tumhari aankhein mujhe bahut achhi lagti hai,I like your eyes a lot,
2826,Tumhara dil bahut achha hai,you have a very good heart,
2827,Tumhari hasi mujhe muskaan deti hai,your smile gives me a smile,
2828,Tum mujhe bahut acche lagte ho,I like you a lot,
2829,Tumhara haath bahut komal hai,your hand is very soft,
2830,Tum mujhe bahut yaad aate ho,I remember you a lot,
2831,Tum bahut khubsurat ho,you are very beautiful,
2832,Tumhari taqdeer mujhe achhi lagti hai,I like your fate,
2833,Tumse dosti karne ka dil karta hai,want to be friends with you,
2834,Tum mehnat karoge na?,will you work hard?,
2835,Tumhe mauka milega,you will get a chance,
2836,Tum mujhe bahut achhe lagte ho,I like you a lot,
2837,Tumhari zindagi mein khushiyon ka silsila ho,may there be a string of happiness in your life,
2838,Tum mere hai,you are mine,
2839,Mai kal suraj dekhne jaungi,I will go to see the sunrise tomorrow,
2840,Tumne kab tak khana khaya tha?,When did you eat food last?,
2841,Kya aapko samajh me aa raha hai?,Do you understand what I am saying?,
2842,Mai kisi kaam ke nahi raha hun,I am not busy with any work,
2843,Yahan itna shor kyon hai?,Why is there so much noise here?,
2844,Wo andar gaya hai,He went inside,
2845,Aaj bahut thanda hai,It's very cold today,
2846,Kya tum usse pyar karte ho?,Do you love her?,
2847,Ye kitne baje hai?,What time is it?,
2848,Mujhe pata hai ki tumne jhoot bola hai,I know that you have lied,
2849,Wo mujhse milne aayega,He will come to meet me,
2850,Tum yahan kaise pahuch gaye?,How did you reach here?,
2851,Mai kal movie dekhne ja rahi hun,I am going to watch a movie tomorrow,
2852,Aapne kabhi swimming ki hai?,Have you ever gone swimming?,
2853,Kya tum yahi rukoge?,Will you stay here only?,
2854,Mai aapse baad me baat karungi,I will talk to you later,
2855,Tumhare paas kitna time hai?,How much time do you have?,
2856,Wo bahut khus hai,He is very happy,
2857,Uska phone off hai,His phone is off,
2858,Tumhari aawaz bahut achhi hai,Your voice is very good,
2859,Mai tumhari baat nahi sunna chahta,I don't want to listen to you,
2860,Wo apna phone kho gaya hai,He lost his phone,
2861,Tum darr gaye ho kya?,Are you scared?,
2862,Wo khushboo phaila raha hai,He is spreading fragrance,
2863,Kya aapne subah nashta kiya hai?,Have you had breakfast in the morning?,
2864,Mai yahan roj aata hun,I come here every day,
2865,Tumhe koi problem hai kya?,Do you have any problem?,
2866,Wo yahan baitha hai,He is sitting here,
2867,Mujhe nind aa rahi hai,I am feeling sleepy,
2868,Ye kitna bada hai?,How big is it?,
2869,Kya tumhe bhookh lagi hai?,Are you hungry?,
2870,Mai kal subah chale jaunga,I will leave tomorrow morning,
2871,Wo khana khane aaya hai,He came to eat food,
2872,Tumhe us ladke se dosti nahi karni chahiye,You should not be friends with that boy,
2873,Usne mera dil tod diya,She broke my heart,
2874,Mai usse baat nahi karna chahti,I don't want to talk to him,
2875,Kya tumhe meri madad chahiye?,Do you need my help?,
2876,Wo bahut acche insaan hai,He is a very good person,
2877,Tumhari aankhein bahut sundar hai,Your eyes are very beautiful,
2878,Mai aaj subah bhaag gaya tha,I ran away this morning,
2879,Uski tabiyat kharab hai,He is not feeling well,
2880,Kya tumne paani piya hai?,Have you drunk water?,
2881,Wo office me busy hai,He is busy in the office,
2882,Mai tumse bahut pyar karta hun,I love you very much,
2883,Aaj bahut garmi hai,It's very hot today,
2884,Wo bahut tej bhaag raha hai,He is running very fast,
2885,Tum yahan kyun aaye ho?,Why did you come here?,
2886,Usne mujhse kaha ki wo aa jayega,He told me that he will come,
2887,Mai uski madad karne gayi thi,I went to help her,
2888,Tum bhul gaye ho kya?,Did you forget?,
2889,Wo tumhe miss kar raha hai,He is missing you,
2890,Tum kuchh bhi khaoge?,Will you eat anything?,
2891,Mai neha ko dhundh rahi thi,I was looking for Neha,
2892,Kya tum mujhe apna phone de sakte ho?,Can you give me your phone?,
2893,Wo apne kapde badal raha hai,He is changing his clothes,
2894,Mai aapka intezaar kar raha hun,I am waiting for you,
2895,Uska phone busy hai,His phone is busy,
2896,Tumhare paas paise hai?,Do you have money?,
2897,Wo khud se baat kar raha hai,He is talking to himself,
2898,Mai kal bike se office jaunga,I will go to the office on my bike tomorrow,
2899,Tum yahan se kab jayoge?,When will you leave from here?,
2900,Uska dimag bahut tez hai,He is very sharp in his mind,
2901,Mujhe tumhari yaad aa rahi hai,I am missing you,
2902,Kya tum janna chahte ho?,Do you want to know?,
2903,Wo yahan se jaldi jayega,He will leave from here soon,
2904,Tumne mujhe pukara kyun nahi?,Why didn't you call me?,
2905,Mai piche se aa raha hun,I am coming from behind,
2906,Usne mujhe dhokha diya,She cheated me,
2907,Tum yahan par kya kar rahe ho?,What are you doing here?,
2908,Wo meri baat nahi sun raha hai,He is not listening to me,
2909,Mujhe tumse kuchh puchna hai,I want to ask you something,
2910,Tumhe cholera ho gaya hai,You have cholera,
2911,Usne mujhe gale laga liya,She hugged me,
2912,Mai adhik jankari lena chahta hun,I want to get more information,
2913,Wo bahut hi samajhdar hai,He is very intelligent,
2914,Kya tum kabhi rote ho?,Do you ever cry?,
2915,Mai uske ghar chala gaya,I went to his house,
2916,Tum bahut sundar lag rahi ho,You are looking very beautiful,
2917,Usne kuchh nahi kaha,He didn't say anything,
2918,Tumhe apne sawaal ka jawab mil jaega,You will get the answer to your question,
2919,Wo bahut khush hai,She is very happy,
2920,Mujhe iss baare me kuchh pata nahi hai,I don't know anything about it,
2921,Tumhari aankhein bahut pyari hai,Your eyes are very pretty,
2922,Wo apni zindagi se khush nahi hai,He is not happy with his life,
2923,Mai subah se kaam kar raha hun,I have been working since morning,
2924,Usne apni galti maan li,He admitted his mistake,
2925,Tumhari choti bahut sundar hai,Your hair is very beautiful,
2926,Wo bahut gussa ho gaya hai,He got very angry,
2927,Kya tum meri madad karoge?,Will you help me?,
2928,Mai usse kabhi nahi bhulunga,I will never forget him,
2929,Tum meri zindagi ho,You are my life,
2930,Usne mujhe taarif ki,He praised me,
2931,Mai bahut der tak soyi thi,I slept for a long time,
2932,Kya tum mere saath chalenge?,Will you come with me?,
2933,Usne mujhe apna dil diya,She gave me her heart,
2934,Tum mujhse door na jana,Don't go away from me,
2935,Mai usse kabhi nahi chhodunga,I will never leave him,
2936,Kya aapko meri zaroorat hai?,Do you need me?,
2937,Wo bahut achha gaata hai,He sings very well,
2938,Mai har waqt khush rehta hun,I always remain happy,
2939,Tum hamare saath chalna chahte ho?,Do you want to come with us?,
2940,Usne mujhe kabhi dhokha nahi diya,He never cheated me,
2941,Wo mujhe bahut yaad aata hai,I miss him a lot,
2942,Kya tum mere saath khana khana chahte ho?,Do you want to have food with me?,
2943,Mai tumhe bahut pyar karta hun,I love you very much,
2944,Uska dimag bahut lakho me hai,He has a big brain,
2945,Tumhe yahan se jaldi jana chahiye,You should leave from here soon,
2946,Wo apne aap se baat kar raha hai,He is talking to himself,
2947,Kya tum mere saath shopping karna chahte ho?,Do you want to go shopping with me?,
2948,Mai ek bahut hi khushnaseeb insaan hun,I am a very lucky person,
2949,Uska chehra bahut sundar hai,His face is very beautiful,
2950,Tum mere hote huye kabhi akela nahi hona,You will never be alone while I am here,
2951,Wo apni aankhon se hi baat kar raha tha,He was talking through his eyes,
2952,Kya hum kal mil sakte hai?,Can we meet tomorrow?,
2953,Tum bhi mujhe bahut yaad aati ho,I miss you too,
2954,Mai aaj kal bahut busy hun,I am very busy these days,
2955,Usne mujhse kaha ki wo mujhe pyar karta hai,He told me that he loves me,
2956,Tumhari awaaz bahut acchi hai,Your voice is very good,
2957,Wo kisi aur ke saath hai,He is with someone else,
2958,Mai tumhare bina nahi reh sakta,I can't live without you,
2959,Main kal library ja raha hoon,I am going to the library tomorrow,
2960,Tumhara aaj ka din kaisa guzra?,How was your day today?,
2961,Mujhe thoda sa bhookh lagi hai,I am a little hungry,
2962,Tumhari tabiyat kaisi hai aajkal?,How are you feeling these days?,
2963,Uska phone number mujhe yaad hai,I remember his phone number,
2964,Tumhara ghar kahan hai?,Where is your house located?,
2965,Main aaj subah jaldi utha,I woke up early this morning,
2966,Usne mujhe ek khubsurat card diya,She gave me a beautiful card,
2967,Tumhare liye mere paas kuch hai,I have something for you,
2968,Tumse milne ki bahut iccha hai,I really want to meet you,
2969,Us ladki ki aankhein bahut pyaari hain,That girl has very pretty eyes,
2970,Main aise logon se bhaagta hoon,I run away from such people,
2971,Uska haath bada sakht tha,His hand was very strong,
2972,Main aaj bahut thakan mehsus kar raha hoon,I am feeling very tired today,
2973,Tumse baat karke mujhe bahut sukoon milta hai,Talking to you gives me a lot of peace,
2974,Woh mujhe apne ghar leke gaya,He took me to his house,
2975,Usne tumhe dhokha diya,She cheated on you,
2976,Main nahi jaanta ki yeh sahi hai ya nahi,I don't know if this is right or not,
2977,Tumse pyaar karna mushkil nahi hai,It's not difficult to love you,
2978,Main aaj tumhare saath biryani khana chahta hoon,I want to have biryani with you today,
2979,Usne mere ghar se kitna sara samaan le liya hai,How much stuff did she take from my house?,
2980,Main bahut der se aaya,I came very late,
2981,Tumhe kaunsi ice cream pasand hai?,Which ice cream do you like?,
2982,Usne mujhse kaha ki wahin ruk jao,She told me to stay there,
2983,Main yahan itna waqt kyun baitha hoon?,Why am I sitting here for so long?,
2984,Aaj mera mood kharab hai,I am in a bad mood today,
2985,Usne mujhe kitna pyaar diya hai,How much love has she given me?,
2986,Main aaj bahut khush hoon,I am very happy today,
2987,Tum kya karna chahte ho?,What do you want to do?,
2988,Uska chehra bahut hi pyaara hai,Her face is very pretty,
2989,Main wahaan akele jaana nahi chahta,I don't want to go there alone,
2990,Usne mujhe reply nahi diya,She didn't reply to me,
2991,Main pehle se hi thaka hua tha,I was already tired,
2992,Tumhari smile bahut pyaari hai,Your smile is very pretty,
2993,Usne mujhe kitna support kiya hai,How much support has she given me?,
2994,Main aaj bahut busy hoon,I am very busy today,
2995,Tumhare haath mein bahut shakti hai,You have a lot of strength in your hand,
2996,Usne tumhe kabhi bhi pareshaan nahi kiya hai,She has never troubled you,
2997,Main tumhare liye kuch special laaya hoon,I have brought something special for you,
2998,Tumse baat karke mujhe bahut khushi milti hai,Talking to you makes me very happy,
2999,Uska ghar kitni door hai?,How far is her house?,
3000,Main aaj subah tea nahi piya,I didn't have tea this morning,
3001,Usne mujhe kitni baar phone kiya hai?,How many times has she called me?,
3002,Tum itni sundar ho ki jaise pari ho,You are so beautiful that you look like a fairy,
3003,Main us se milne ke liye kosish kar raha hoon,I am trying to meet her,
3004,Uska phone abhi kaunse room mein hai?,Which room is her phone in right now?,
3005,Main yahan sirf tumse milne aaya hoon,I have only come here to meet you,
3006,Usne mujhe kitna support diya hai,How much support has she given me?,
3007,Main aaj subah hi utha hoon,I have just woken up this morning,
3008,Tumne kabhi yeh socha hai ki tumhari zindagi kaisi hogi?,Have you ever thought about how your life will be?,
3009,Woh kitni pyaari lag rahi hai,She is looking very pretty,
3010,Main abhi tak wahaan nahi gaya,I haven't gone there yet,
3011,Usne apna phone kahan rakha hai?,Where did she keep her phone?,
3012,Mujhe wahaan se kuch important kaam hai,I have some important work there,
3013,Tum se mujhe bahut mohabbat hai,I love you very much,
3014,Usne mujhe bahut saare tohfe diye,She gave me a lot of gifts,
3015,Main yahan kuch der ke liye rukna chahta hoon,I want to stay here for a while,
3016,Tum apne kaam mein bahut mehnat karte ho,You work very hard in your job,
3017,Usne mujhe ek bahut hi acchi book di hai,She gave me a very good book,
3018,Tum kitne sundar ho,You are so beautiful,
3019,Main uske saath bahut acchha samay bitaya hoon,I have spent a very good time with her,
3020,Mujhe uska phone number chahiye,I need her phone number,
3021,Tumhara birthday kab hai?,When is your birthday?,
3022,Usne mujhe kitna pyaar diya hai,How much love has she given me?,
3023,Main tumhe bahut yaad karta hoon,I miss you a lot,
3024,Tumhe ye shirt bahut achhi lag rahi hai,You are looking very good in this shirt,
3025,Usne mujhe kabhi dhokha nahi diya,She has never cheated on me,
3026,Main kal subah jaldi uthna chahta hoon,I want to wake up early tomorrow morning,
3027,Tum meri best friend ho,You are my best friend,
3028,Uski aankhein bahut hi jyada pyaari hai,Her eyes are very pretty,
3029,Main aaj khud ko bahut khush mehsus kar raha hoon,I am feeling very happy today,
3030,"Tum jo bhi karna chahte ho, main tumhari madad karunga",I will help you do whatever you want,
3031,Usne mujhe bahut gaaliyan di thhi,She used to abuse me a lot,
3032,"Main tumse kitni bhi nafrat kar loonga, tumhari mohabbat kabhi kam nahi hogi","No matter how much I hate you, your love will never decrease",
3033,Usne mujhe kabhi dekha nahi hai,She has never seen me,
3034,Main apne kaam mein bahut busy hoon,I am very busy with my work,
3035,Uska chehra bahut hi khubsurat hai,Her face is very beautiful,
3036,Main tumse pehle se hi pyaar karta hoon,I have loved you from before,
3037,Tumhara haath bahut hi naram hai,Your hand is very soft,
3038,Usne mujhe kitne saal se jaanta hai?,How long has she known me?,
3039,Main aaj kuch special karna chahta hoon,I want to do something special today,
3040,Tumhari tabiyat ab kaisi hai?,How is your health now?,
3041,Usne mujhe bahut support kiya hai,She has supported me a lot,
3042,Main ek acchi zindagi jeena chahta hoon,I want to live a good life,
3043,Tumhe kaisa lag raha hai aajkal?,How are you feeling these days?,
3044,Us ladki ki muskaan bahut hi pyaari hai,That girl's smile is very beautiful,
3045,Main un logo se baat nahi karna chahta,I don't want to talk to those people,
3046,Usne tumhe kabhi dhokha nahi diya hai,She has never cheated on you,
3047,Tum apne kaam mein bahut mehnat se kaam karte ho,You work very hard in your job,
3048,Usne mujhe kabhi bhi pareshaan nahi kiya hai,She has never troubled me,
3049,Main kal bahut jaldi uthna chahta hoon,I want to wake up very early tomorrow,
3050,Tumhari ghadi kitni baje chalti hai?,What time does your watch run on?,
3051,Usne mujhe kitni baar invite kiya hai?,How many times has she invited me?,
3052,Main humesha is gaane ko sunta hoon,I always listen to this song,
3053,Tum har samay mere saath ho,You are with me all the time,
3054,Uska phone number tumhe kaise pata chala?,How did you get her phone number?,
3055,Main kal apna kaam khatam karke wapas aaunga,I will come back after finishing my work tomorrow,
3056,Tumhare jitna pyaar koi nahi kar sakta,No one can love as much as you do,
3057,Usne mujhe kitna saara time diya hai,How much time has she given me?,
3058,Main wahaan akele jaana nahi chahta hoon,I don't want to go there alone,
3059,Tumhari aankhein bahut hi khoobsurat hai,Your eyes are very beautiful,
3060,Usne mujhse kitni baar baat ki hai?,How many times has she talked to me?,
3061,Main bahut khush hoon ki tum mere saath ho,I am very happy that you are with me,
3062,Tum ye kaam bahut achhe se kar sakte ho,You can do this work very well,
3063,Usne mere naam ki ek acchi painting banayi,She made a nice painting of my name,
3064,Main kal subah hi ye kaam karna chahta hoon,I want to do this work tomorrow morning itself,
3065,Tumhara birthday bahut hi special hai,Your birthday is very special,
3066,Usne mujhe kabhi bhi tang nahi kiya hai,She has never bothered me,
3067,Main thoda sa bore feel kar raha hoon,I am feeling a little bored,
3068,Tumhari smile bahut hi khoobsurat hai,Your smile is very beautiful,
3069,Usne mujhse ek bahut hi acchi baat ki hai,She talked to me very nicely,
3070,Main tumhari baaton se bahut prabhavit hoon,I am very impressed by what you say,
3071,Usne tumhe itna pyaar diya hai ki tumhare liye jaan bhi dene ko taiyaar hai,She has loved you so much that she is ready to give her life for you,
3072,Tumhari aankhein tumhe bahut sundar banaati hai,Your eyes make you very beautiful,
3073,Main tumse baat karke bahut khush hoon,I am very happy talking to you,
3074,Usne mujhe kitni baar hairaan kiya hai,How many times has she surprised me?,
3075,Tum bahut acche dost ho,You are a very good friend,
3076,Usne mujhe kabhi bhi dukh nahi diya hai,She has never hurt me,
3077,Main apne kaam mein bahut mahir hoon,I am very skilled in my work,
3078,Tumhara chehra mujhe bahut achha lagta hai,I like your face very much,
3079,Hum so gaye,hamari nind aa gayi,
3080,Tumne mujhe dhoke mein rakha,I put your cheat on you,
3081,Mujhe mala pahana do,Put the garland on me,
3082,Yeh sab mujhe karna hoga,I will have to do all of these,
3083,Tumne sach bata diya,You told the truth,
3084,Aapne mujhe dhoke mein rakha,You cheated me,
3085,Woh khush hai,He is happy,
3086,Mera pet khali hai,I am hungry,
3087,Kya tumhe pata hai,Do you know?,
3088,"Agar tum yeh karte ho, toh main tumhe pyar karungi","If you do this, I will love you",
3089,Saamne mat dekho,Don't look ahead,
3090,Mujhe nahi malum,I don't know,
3091,Tum itna kyu ro rahe ho,Why are you crying so much?,
3092,Mera man nahi hai,I don't feel like it,
3093,Main wapas ja raha hu,I am going back,
3094,Khana khao,Eat food,
